station,member_casual,latitude,longitude,number_of_rides
Blue Island Ave & 18th St,member,41.85751269556321,-87.66156993038281,3631
Clark St & 9th St (AMLI),member,41.87081304611755,-87.63119842371137,3624
Leavitt St & Division St,member,41.902984630473945,-87.68375844730876,3608
Ashland Ave & Lake St,member,41.885925603052165,-87.66716754909267,3604
Spaulding Ave & Armitage Ave,member,41.91710372925007,-87.71018066616114,3587
Racine Ave & Randolph St,member,41.88408748088391,-87.65689913786014,3575
California Ave & Cortez St,member,41.90036688088334,-87.69666018320527,3566
Green St & Randolph St*,member,41.883749481195956,-87.6484585246996,3562
Michigan Ave & Ida B Wells Dr,member,41.87626349715292,-87.62448484254294,3551
Benson Ave & Church St,member,42.04822458312117,-87.68348041914453,3425
Clinton St & Tilden St,member,41.87587642753529,-87.64076713762647,3400
Artesian Ave & Hubbard St,member,41.889524119911506,-87.68813717153687,3390
LaSalle St & Adams St,member,41.87941279894065,-87.6319795838101,3370
Albany Ave & Bloomingdale Ave,member,41.91401224492827,-87.70513908309624,3346
Calumet Ave & 35th St,member,41.83136124479604,-87.61802983702759,3334
Morgan Ave & 14th Pl,member,41.86240380569757,-87.65109868274227,3333
Stave St & Armitage Ave,member,41.91770381504204,-87.69140410936636,3330
Damen Ave & Wellington Ave,member,41.93586892785649,-87.67842342377014,3289
Humboldt Blvd & Armitage Ave,member,41.91750885746878,-87.70179959978068,3283
Glenwood Ave & Morse Ave,member,42.007964870395355,-87.6654778581205,3187
Blackstone Ave & Hyde Park Blvd,member,41.802591987003794,-87.59037923249684,3164
Ashland Ave & Wrightwood Ave,member,41.92882813517033,-87.6685277059376,3141
Ravenswood Ave & Berteau Ave,member,41.957917271257635,-87.67357277288518,3109
Lincoln Ave & Waveland Ave,member,41.94874642052581,-87.67525363610001,3100
Ogden Ave & Congress Pkwy,member,41.875007813303114,-87.67325086976037,3088
Morgan St & 18th St,member,41.8581067141024,-87.65112002143228,3086
Damen Ave & Foster Ave,member,41.975601724345005,-87.67946252564202,3084
Wentworth Ave & 33rd St,member,41.83456267986337,-87.63182787735198,3074
Ashland Ave & 13th St,member,41.86522359225181,-87.66652416267915,3042
Sedgwick St & Schiller St,member,41.90762466161653,-87.63853501972892,3025
Paulina St & 18th St,member,41.8579263833278,-87.66869004412487,3011
Wentworth Ave & Cermak Rd,member,41.853146758459204,-87.63191235961227,2966
Lincoln Ave & Belmont Ave (Temp),member,41.93947087638889,-87.67108681472223,2952
Lincoln Ave & Melrose St,member,41.94059562631989,-87.66948899241952,2951
Morgan St & 31st St,member,41.83782364345341,-87.65114835310703,2887
Shields Ave & 28th Pl,member,41.842771207071806,-87.63549135914536,2855
Damen Ave & Clybourn Ave,member,41.93191509209261,-87.67781729753978,2829
Western Ave & Congress Pkwy,member,41.8746894034849,-87.68639303695204,2815
Fort Dearborn Dr & 31st St,member,41.83855656533046,-87.60826957558908,2784
Sheridan Rd & Loyola Ave,member,42.001093100311586,-87.66124034905059,2728
Wood St & Hubbard St,member,41.889905774041296,-87.67145285800885,2712
California Ave & North Ave,member,41.91042652892804,-87.69749656504821,2696
Halsted St & 18th St,member,41.85754663511359,-87.64602562511732,2685
Hampden Ct & Diversey Ave,member,41.93157430942013,-87.641695357789,2673
Clark St & Lunt Ave,member,42.00903673387036,-87.674195468768,2638
California Ave & Altgeld St,member,41.926645338151324,-87.69770144301872,2564
Rockwell St & Eastwood Ave,member,41.965868838591,-87.69364565612133,2555
California Ave & Francis Pl,member,41.918549307429466,-87.69741324553684,2552
Damen Ave & Sunnyside Ave,member,41.96324505826535,-87.679278970459407,2525
McCormick Place,member,41.851432378890216,-87.61888071935728,2505
Indiana Ave & 26th St,member,41.845757567648235,-87.6225342628806,2496
Winchester Ave & Elston Ave,member,41.92410233231849,-87.67646735379061,2493
Leavitt St & Belmont Ave,member,41.93934355405145,-87.68325622718248,2488
Emerald Ave & 28th St,member,41.8435811899796,-87.64539699376174,2451
California Ave & Division St,member,41.90303312378943,-87.69750397371159,2441
Lincoln Ave & Addison St,member,41.94617022422888,-87.67330446280558,2438
